FrameIndex,Timestamp,FrameTime_ms,FPS
186,0.570181,3.000000,326.693481
187,0.572999,3.000000,326.693481
188,0.576134,3.000000,326.693481
189,0.579335,3.000000,326.693481
190,0.582166,3.000000,326.693481
191,0.585375,3.000000,326.693481
192,0.588197,3.000000,326.693481
193,0.591423,3.000000,326.693481
194,0.594252,3.000000,326.693481
195,0.597126,3.000000,326.693481
196,0.600306,3.000000,326.693481
197,0.603122,3.000000,326.693481
198,0.606352,3.000000,326.693481
199,0.609745,3.000000,326.693481
200,0.613070,4.000000,326.693481
201,0.615750,3.000000,326.693481
202,0.618607,2.000000,326.693481
203,0.621911,4.000000,326.693481
204,0.624959,3.000000,326.693481
205,0.628198,3.000000,326.693481
206,0.631082,3.000000,326.693481
207,0.634460,3.000000,326.693481
208,0.637485,3.000000,326.693481
209,0.640850,4.000000,326.693481
210,0.643666,2.000000,326.693481
211,0.646860,4.000000,326.693481
212,0.649705,2.000000,326.693481
213,0.652527,3.000000,326.693481
214,0.655732,3.000000,326.693481
215,0.658557,3.000000,326.693481
216,0.661778,4.000000,326.693481
217,0.664557,2.000000,326.693481
218,0.667859,4.000000,326.693481
219,0.670617,2.000000,326.693481
220,0.674005,4.000000,326.693481
221,0.677184,3.000000,326.693481
222,0.680110,3.000000,326.693481
223,0.683223,3.000000,326.693481
224,0.686010,3.000000,326.693481
225,0.689583,3.000000,326.693481
226,0.692344,3.000000,326.693481
227,0.695160,3.000000,326.693481
228,0.698902,4.000000,326.693481
229,0.701758,2.000000,326.693481
230,0.704925,4.000000,326.693481
231,0.708133,3.000000,326.693481
232,0.711258,3.000000,326.693481
233,0.714047,3.000000,326.693481
234,0.717288,3.000000,326.693481
235,0.720088,3.000000,326.693481
236,0.723048,3.000000,326.693481
237,0.726178,3.000000,326.693481
238,0.728941,3.000000,326.693481
239,0.732191,3.000000,326.693481
240,0.734996,3.000000,326.693481
241,0.738429,3.000000,326.693481
242,0.741546,3.000000,326.693481
243,0.744761,4.000000,326.693481
244,0.747554,2.000000,326.693481
245,0.750367,3.000000,326.693481
246,0.753595,3.000000,326.693481
247,0.756681,3.000000,326.693481
248,0.759955,4.000000,326.693481
249,0.762672,2.000000,326.693481
250,0.766129,4.000000,326.693481
251,0.769202,3.000000,326.693481
252,0.772720,3.000000,326.693481
253,0.775511,3.000000,326.693481
254,0.778701,3.000000,326.693481
255,0.781535,3.000000,326.693481
256,0.784433,3.000000,326.693481
257,0.787593,3.000000,326.693481
258,0.790417,3.000000,326.693481
259,0.793625,3.000000,326.693481
260,0.796411,3.000000,326.693481
261,0.799637,3.000000,326.693481
262,0.802501,3.000000,326.693481
263,0.805912,4.000000,326.693481
264,0.809110,3.000000,326.693481
265,0.811973,3.000000,326.693481
266,0.815229,3.000000,326.693481
267,0.817985,3.000000,326.693481
268,0.821369,3.000000,326.693481
269,0.824153,3.000000,326.693481
270,0.826971,3.000000,326.693481
271,0.830476,3.000000,326.693390
272,0.833367,3.000000,326.693390
273,0.836938,4.000000,326.693390
274,0.839917,3.000000,326.693390
275,0.842907,3.000000,326.693390
276,0.845715,2.000000,326.693390
277,0.848924,4.000000,326.693390
278,0.851709,2.000000,326.693390
279,0.854998,4.000000,326.693390
280,0.857741,2.000000,326.693390
281,0.860632,3.000000,326.693390
282,0.863898,4.000000,326.693390
283,0.866579,2.000000,326.693390
284,0.870320,4.000000,326.693390
285,0.873073,3.000000,326.693390
286,0.876318,3.000000,326.693390
287,0.879122,3.000000,326.693390
288,0.881959,3.000000,326.693390
289,0.885425,3.000000,326.693390
290,0.888281,3.000000,326.693390
291,0.891450,3.000000,326.693390
292,0.894328,3.000000,326.693390
293,0.897538,3.000000,326.693390
294,0.900599,3.000000,326.693390
295,0.904160,4.000000,326.693390
296,0.906972,3.000000,326.693390
297,0.909871,3.000000,326.693390
298,0.913142,3.000000,326.693390
299,0.915927,3.000000,326.693390
300,0.919150,3.000000,326.693390
301,0.921956,3.000000,326.693390
302,0.925181,3.000000,326.693390
303,0.927998,3.000000,326.693390
304,0.930827,3.000000,326.693390
305,0.934324,3.000000,326.693390
306,0.937415,3.000000,326.693390
307,0.940642,3.000000,326.693390
308,0.943763,3.000000,326.693390
309,0.947011,4.000000,326.693390
310,0.949708,2.000000,326.693390
311,0.953199,4.000000,326.693390
