FrameIndex,Timestamp,FrameTime_ms,FPS,RenderMode
0,0.000560,4.000000,341.317627,Standard
1,0.003288,2.000000,341.317627,Standard
2,0.005943,3.000000,341.317627,Standard
3,0.008884,3.000000,341.317627,Standard
4,0.011626,3.000000,341.317627,Standard
5,0.014498,3.000000,341.317627,Standard
6,0.017186,2.000000,341.317627,Standard
7,0.020094,3.000000,341.317627,Standard
8,0.022941,3.000000,341.317627,Standard
9,0.025591,3.000000,341.317627,Standard
10,0.029652,4.000000,341.317627,Standard
11,0.032593,3.000000,341.317627,Standard
12,0.035640,3.000000,341.317627,Standard
13,0.038563,3.000000,341.317627,Standard
14,0.041318,2.000000,341.317627,Standard
15,0.044678,4.000000,341.317627,Standard
16,0.047583,3.000000,341.317627,Standard
17,0.050507,3.000000,341.317627,Standard
18,0.053242,2.000000,341.317627,Standard
19,0.056130,3.000000,341.317627,Standard
20,0.059237,3.000000,341.317627,Standard
21,0.062177,3.000000,341.317627,Standard
22,0.064983,3.000000,341.317627,Standard
23,0.068181,3.000000,341.317627,Standard
24,0.071472,3.000000,341.317627,Standard
25,0.074705,3.000000,341.317627,Standard
26,0.077994,4.000000,341.317627,Standard
27,0.081359,3.000000,341.317627,Standard
28,0.084628,3.000000,341.317627,Standard
29,0.087794,3.000000,341.317627,Standard
30,0.091320,4.000000,341.317627,Standard
31,0.094774,3.000000,341.317627,Standard
32,0.098638,4.000000,341.317627,Standard
33,0.101696,3.000000,341.317627,Standard
34,0.105033,4.000000,341.317627,Standard
35,0.108238,3.000000,341.317627,Standard
36,0.111532,3.000000,341.317627,Standard
37,0.114749,3.000000,341.317627,Standard
38,0.117847,4.000000,341.317627,Standard
39,0.121379,3.000000,341.317627,Standard
40,0.124712,3.000000,341.317627,Standard
41,0.127906,4.000000,341.317627,Standard
42,0.131158,3.000000,341.317627,Standard
43,0.134347,3.000000,341.317627,Standard
44,0.138071,4.000000,341.317627,Standard
45,0.142031,4.000000,341.317627,Standard
46,0.145266,3.000000,341.317627,Standard
47,0.149046,4.000000,341.317627,Standard
48,0.152628,3.000000,341.317627,Standard
49,0.155897,4.000000,328.031921,Standard
50,0.159120,3.000000,328.031921,Standard
51,0.162351,3.000000,328.031921,Standard
52,0.165450,3.000000,328.031921,Standard
53,0.169458,4.000000,328.031921,Standard
54,0.172642,3.000000,328.031921,Standard
55,0.175934,4.000000,328.031921,Standard
56,0.179058,3.000000,328.031921,Standard
57,0.182265,3.000000,328.031921,Standard
58,0.185371,3.000000,328.031921,Standard
59,0.188598,3.000000,328.031921,Standard
60,0.191751,3.000000,328.031921,Standard
61,0.195019,4.000000,328.031921,Standard
62,0.198540,3.000000,328.031921,Standard
63,0.202130,4.000000,328.031921,Standard
64,0.205275,3.000000,328.031921,Standard
65,0.208628,3.000000,328.031921,Standard
66,0.211748,3.000000,328.031921,Standard
67,0.215049,4.000000,328.031921,Standard
68,0.218435,3.000000,328.031921,Standard
69,0.221483,3.000000,328.031921,Standard
70,0.224764,3.000000,328.031921,Standard
71,0.228066,4.000000,328.031921,Standard
72,0.231307,3.000000,328.031921,Standard
73,0.234395,3.000000,328.031921,Standard
74,0.237506,3.000000,328.031921,Standard
75,0.240568,3.000000,328.031921,Standard
76,0.244150,4.000000,328.031921,Standard
77,0.247327,3.000000,328.031921,Standard
