Model,TotalMs,ParseMs,NodeBuildMs,PrimitiveBuildMs,MaterialSetupMs,AnimationLoadMs,NodeCount,MeshCount,PrimitiveCount,VertexCount,IndexCount
makoto.glb,624.146,543.896,2.7221,76.1215,34.0858,0.0003,418,14,14,32698,130794
model_1.glb,259.895,225.674,0.0332,33.7182,27.281,0.0004,1,1,9,9295,38400
porsche_911_gt3.glb,2367.48,2163.41,15.6451,181.931,15.3484,0.0143,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2373.53,2171.28,13.2158,182.724,16.1529,0.0065,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2394.45,2196.14,13.0467,178.336,16.5488,0.0061,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2407.86,2205.52,13.2308,181.606,16.2469,0.0074,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2364.89,2163.79,13.5867,181.188,16.0901,0.0063,4901,1630,1630,184649,707163
suksuk.glb,961.616,786.199,0.0387,174.464,164.06,0.0003,1,1,9,18652,85632
sponza_palace.glb,1373.89,1169.64,0.6425,202.026,75.5317,0.0005,211,103,103,192489,786798
makoto.glb,560.839,491.238,1.6927,66.2154,32.0389,0.0003,418,14,14,32698,130794
model_1.glb,238.518,204.905,0.0575,32.6206,26.8264,0.0003,1,1,9,9295,38400
copied_city.glb,724.476,220.108,0.0875,502.88,0.253,0.0003,1,1,25,951128,1466070
porsche_911_gt3.glb,2470.82,2253.21,14.2351,196.356,17.4452,0.0111,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2464.23,2246.45,13.1486,197.586,17.1697,0.0052,4901,1630,1630,184649,707163
suksuk.glb,965.989,783.903,0.0277,181.126,168.816,0.0004,1,1,9,18652,85632
sponza_palace.glb,1305.42,1093.98,0.6059,209.175,80.7759,0.0003,211,103,103,192489,786798
makoto.glb,561.663,490.004,1.7351,68.3434,33.276,0.0003,418,14,14,32698,130794
model_1.glb,230.57,195.771,0.0287,33.7268,27.1185,0.0003,1,1,9,9295,38400
porsche_911_gt3.glb,2600.85,2372.59,13.238,207.533,17.4997,0.0068,4901,1630,1630,184649,707163
gundam_unicorn.glb,436.263,291.016,0.3299,143.432,22.1867,0.0004,98,95,95,218194,1131972
porsche_911_gt3.glb,2544.74,2333.3,13.8417,190.833,17.2361,0.0087,4901,1630,1630,184649,707163
robot.glb,1419.93,1267.62,2.2916,147.99,63.8748,0.0634,541,188,188,114048,364101
gundam_unicorn.glb,391.368,231.889,0.3393,157.671,28.3106,0.0004,98,95,95,218194,1131972
materials_test.glb,40.4482,28.7966,0.0461,10.6593,3.5106,0.0004,6,4,4,10396,58800
plane.glb,2.1948,1.2897,0.0163,0.0691,0.0056,0.0004,1,1,1,4,6
sphere.glb,2.4318,1.186,0.0129,0.4679,0.0055,0.0002,1,1,1,802,4032
dinosaur_1.glb,503.32,466.362,0.4193,31.4034,18.714,3.5772,72,1,1,11351,61371
test_room.glb,1345.03,1264.99,0.0909,78.8131,77.316,0.0005,7,3,3,1682,4290
porsche_911_gt3.glb,2371.2,2178.15,13.2719,173.847,14.9675,0.004,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2473.89,2270.86,13.1042,183.529,16.4711,0.0033,4901,1630,1630,184649,707163
suksuk.glb,944.434,763.835,0.0357,179.481,168.47,0.0005,1,1,9,18652,85632
sponza_palace.glb,1216.58,1014.09,0.6014,200.294,77.1204,0.0004,211,103,103,192489,786798
makoto.glb,534.568,467.406,1.7242,63.9335,30.8879,0.0003,418,14,14,32698,130794
model_1.glb,238.15,205.459,0.0284,31.8199,26.0368,0.0006,1,1,9,9295,38400
suksuk.glb,1007.9,810.371,0.087,196.228,182.857,0.0031,1,1,9,18652,85632
sponza_palace.glb,1283.97,1064.05,0.6748,217.57,85.0691,0.0004,211,103,103,192489,786798
makoto.glb,548.299,476.517,1.8217,68.2946,31.8725,0.0003,418,14,14,32698,130794
model_1.glb,228.407,194.795,0.0504,32.2986,26.2735,0.0005,1,1,9,9295,38400
suksuk.glb,1026.18,814.576,0.1349,210.431,199.054,0.0065,1,1,9,18652,85632
sponza_palace.glb,1335.7,1115.84,0.6468,217.605,87.9416,0.0004,211,103,103,192489,786798
makoto.glb,594.325,520.245,1.8768,70.2068,34.2537,0.0004,418,14,14,32698,130794
model_1.glb,217.389,183.158,0.0271,33.2189,27.6168,0.0004,1,1,9,9295,38400
porsche_911_gt3.glb,2410.73,2207.16,13.8642,183.484,14.9696,0.0008,4901,1630,1630,184649,707163
suksuk.glb,957.869,771.841,0.0498,184.859,172.63,0.0039,1,1,9,18652,85632
sponza_palace.glb,1248.52,1039,0.6576,207.421,80.8334,0.0004,211,103,103,192489,786798
makoto.glb,537.778,470.943,1.6992,63.5072,29.9339,0.0003,418,14,14,32698,130794
model_1.glb,207.148,177.348,0.0273,28.8991,23.4561,0.0002,1,1,9,9295,38400
dinosaur_1.glb,477.837,439.668,0.3785,32.6778,19.8412,3.6354,72,1,1,11351,61371
test_room.glb,1222.24,1144.34,0.0929,76.765,75.2443,0.0005,7,3,3,1682,4290
materials_test.glb,33.7588,23.5748,0.0442,8.8331,2.8491,0.0003,6,4,4,10396,58800
sphere.glb,2.622,1.2479,0.0153,0.5799,0.0073,0.0001,1,1,1,802,4032
suksuk.glb,985.154,804.108,0.1247,179.819,169.015,0.0005,1,1,9,18652,85632
sponza_palace.glb,1256.43,1049.13,0.656,205.172,80.4988,0.0003,211,103,103,192489,786798
makoto.glb,556.097,488.969,1.6941,63.6306,29.6752,0.0003,418,14,14,32698,130794
model_1.glb,215.918,183.973,0.0279,30.8233,25.1618,0.0004,1,1,9,9295,38400
porsche_911_gt3.glb,2350.21,2142.38,13.2121,188.175,17.0233,0.0004,4901,1630,1630,184649,707163
dinosaur_1.glb,477.669,441.21,0.4098,30.8455,18.1949,3.7069,72,1,1,11351,61371
test_room.glb,1213.74,1135.46,0.0821,76.9336,75.2878,0.0004,7,3,3,1682,4290
materials_test.glb,33.7464,22.7413,0.0466,9.8901,3.5184,0.0003,6,4,4,10396,58800
sphere.glb,2.8809,1.2334,0.0154,0.5919,0.0072,0.0004,1,1,1,802,4032
suksuk.glb,1101.21,835.758,0.5763,262.828,249.647,0.0004,1,1,9,18652,85632
sponza_palace.glb,1452.94,1224.5,0.5399,226.465,91.3285,0.0003,211,103,103,192489,786798
makoto.glb,573.419,503.11,1.7436,66.6591,31.8381,0.0003,418,14,14,32698,130794
model_1.glb,224.178,193.045,0.0272,30.1487,24.604,0.0003,1,1,9,9295,38400
suksuk.glb,1102.97,885.48,0.9219,215.202,201.218,0.0007,1,1,9,18652,85632
